sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
9489046#0#s0,1,0,0,0,0,1,1,1
10099710#0#s0,0,0,1,0,1,1,0,1
9388174#0#s2,0,0,0,0,0,0,0,0
1414410#0#s0,1,1,1,1,1,1,1,0
4105782#0#s0,1,0,0,0,0,1,1,0
10063278#0#s0,1,1,1,1,1,1,1,1
3208986#0#s0,1,0,0,0,0,0,0,1
4797848#0#s0,1,0,0,0,0,0,0,0
379859#0#s3,0,0,1,0,1,1,1,1
4792161#0#s0,1,0,0,0,1,1,1,1
4792161#0#s1,0,0,0,0,0,0,0,1
10111960#0#s0,1,0,1,1,1,1,1,1
10111960#0#s1,1,1,1,1,1,1,1,1
10111960#0#s2,1,1,1,1,1,1,1,1
10111960#0#s3,1,1,1,1,1,1,1,1
10111960#0#s4,1,1,1,1,1,1,1,1
256983#0#s0,1,0,0,0,1,1,1,1
1319222#0#s0,1,0,0,0,0,0,0,1
1319222#0#s1,1,1,0,0,0,1,1,1
1319222#0#s2,1,1,1,1,1,1,1,1
1319222#0#s3,1,1,1,1,1,1,1,1
1319222#0#s4,1,0,1,1,1,1,0,1
1319222#0#s5,0,0,0,0,1,0,0,0
10150822#0#s0,0,0,0,0,0,0,1,0
10150822#0#s1,0,0,0,0,0,0,0,0
2984423#0#s0,1,1,0,1,1,1,1,0
4843572#0#s0,1,1,1,1,1,1,1,1
4843572#0#s1,0,1,1,1,0,1,1,1
4843572#0#s2,0,0,0,0,0,0,0,1
7985731#0#s0,1,1,1,0,1,1,1,1
7985731#0#s1,1,0,0,0,0,0,0,1
7985731#0#s2,1,1,1,1,1,1,1,1
7985731#0#s3,1,1,0,1,1,1,1,0
9557930#0#s0,1,1,1,1,1,1,1,1
1335201#0#s0,1,0,0,1,0,0,0,1
2016178#0#s0,1,1,1,0,0,1,1,1
2016178#0#s1,1,0,1,1,1,1,1,1
2016178#0#s2,1,1,1,1,1,1,1,1
1689169#0#s0,1,0,1,0,0,1,0,1
1689169#0#s1,1,0,0,0,0,1,0,1
1689169#0#s2,1,0,0,0,0,0,0,1
8920493#0#s0,1,0,1,1,1,1,1,1
9472048#0#s0,1,0,0,0,0,0,0,1
9472048#0#s1,1,1,1,1,1,1,1,1
9472048#0#s2,1,1,1,1,1,1,1,1
9472048#0#s3,1,1,0,1,1,1,1,1
9472048#0#s4,1,1,1,1,1,1,1,1
6197477#0#s0,1,1,1,0,0,1,0,1
6197477#0#s1,1,0,0,1,1,1,1,0
8539963#0#s0,1,1,1,1,1,1,1,1
9508035#0#s0,1,1,1,1,1,1,1,1
9508035#0#s1,1,1,1,1,1,1,1,1
9508035#0#s2,1,1,1,0,1,0,1,0
9508035#0#s3,1,1,1,1,1,1,1,1
9508035#0#s4,1,1,1,1,0,1,0,1
9508035#0#s5,1,1,1,1,1,1,1,1
9508035#0#s6,1,1,1,1,1,1,1,1
9508035#0#s7,1,1,1,1,1,0,1,0
7055755#0#s0,1,1,1,1,1,1,1,1
1167865#0#s0,1,0,1,1,1,1,1,1
9245397#0#s0,1,1,1,0,1,1,1,1
9245397#0#s1,1,0,1,0,1,1,1,1
9071272#0#s0,1,0,0,0,1,0,0,1
9071272#0#s1,0,0,0,0,0,0,0,1
4706298#0#s0,0,0,0,0,0,0,0,1
4706298#0#s1,0,0,0,0,0,0,0,0
269833#0#s0,1,1,1,1,1,1,1,1
9195695#0#s0,0,0,0,0,1,0,0,1
9195695#0#s1,0,0,0,0,0,0,0,1
6997976#0#s0,1,1,1,1,1,1,1,1
1431197#0#s0,1,1,1,1,0,1,1,1
1431197#0#s1,1,0,1,1,1,1,1,1
1431197#0#s2,1,0,1,0,0,1,1,1
1547407#0#s0,1,1,1,1,1,1,1,1
9885798#0#s0,0,0,0,0,0,0,0,0
9885798#0#s1,1,0,0,0,0,1,0,0
779921#0#s0,0,0,0,0,0,0,0,0
779921#0#s1,1,1,1,1,1,1,1,0
1783212#0#s0,1,0,0,0,0,0,1,1
6422090#0#s0,1,0,0,0,0,1,1,1
6422090#0#s1,1,0,0,0,1,0,0,1
1678731#0#s0,1,1,1,1,1,1,1,1
6942255#0#s0,1,1,1,1,1,1,1,1
6942255#0#s1,0,0,0,0,0,0,0,1
6942255#0#s2,1,1,1,1,1,1,1,1
6942255#0#s3,1,0,0,0,0,0,0,0
8709578#0#s0,0,0,0,0,0,0,0,1
8709578#0#s1,1,0,0,0,0,0,0,1
6167896#0#s0,1,1,1,1,1,1,1,1
6167896#0#s1,1,0,0,0,0,0,0,1
6167896#0#s2,1,0,0,1,0,1,0,1
6167896#0#s3,1,0,0,0,1,1,0,1
6167896#0#s4,1,0,0,0,1,0,0,1
4598481#0#s0,1,1,0,0,0,1,1,1
4598481#0#s1,0,0,0,0,0,0,0,0
4598481#0#s2,1,0,0,0,0,1,0,1
4598481#0#s3,1,0,0,0,0,0,0,1
4598481#0#s4,0,0,0,0,0,0,0,1
4598481#0#s5,0,0,0,0,0,0,0,0
4571441#0#s0,0,0,1,0,0,1,1,0
8435994#0#s0,1,1,1,1,1,1,1,1
6510823#0#s0,1,1,1,0,1,1,0,0
2909589#0#s0,1,1,1,1,1,1,1,1
7447690#0#s0,1,1,0,1,0,1,1,0
5925181#0#s0,1,1,1,1,1,1,1,0
7013799#0#s0,1,0,0,1,1,1,1,1
9765017#0#s0,1,0,0,0,0,1,0,1
4417497#0#s0,1,0,0,1,0,1,1,1
4417497#0#s1,1,1,1,1,1,1,1,1
4417497#0#s2,0,0,0,0,0,0,0,0
7576513#0#s0,1,0,0,0,0,0,0,1
6402798#0#s0,0,0,0,0,0,0,0,1
6402798#0#s1,1,0,0,0,0,0,0,1
95607#0#s0,1,0,1,1,0,1,0,1
95607#0#s1,1,0,0,1,1,1,0,1
95607#0#s2,1,0,0,0,0,0,0,0
95607#0#s3,1,0,0,0,0,0,0,1
2793268#0#s0,1,1,1,1,1,1,1,1
2793268#0#s1,1,0,0,0,0,0,0,0
2793268#0#s2,1,0,0,0,0,0,0,1
2793268#0#s3,1,0,0,0,1,1,0,1
4846492#0#s0,1,0,1,0,0,1,0,1
4846492#0#s1,1,0,0,0,0,0,0,0
919762#0#s0,1,1,1,1,1,1,1,1
7444046#0#s0,1,0,0,0,1,0,0,1
4116187#0#s0,0,0,1,0,0,0,0,1
4116187#0#s1,0,0,0,0,0,1,0,1
826173#0#s0,1,1,1,1,1,1,1,1
1069523#0#s0,1,1,1,1,1,1,1,1
1069523#0#s1,0,0,0,0,0,1,0,1
9388174#0#s0,0,0,0,0,1,0,0,1
9388174#0#s1,0,0,0,0,0,0,0,0
379859#0#s0,1,1,1,1,1,1,1,1
379859#0#s1,1,1,1,0,1,1,1,1
379859#0#s2,1,1,1,1,1,1,1,1
