sample_id,gold_label,MiniMax-M2.7,GPT-OSS-120b,Qwen3.6-35B,gemini-2.5-flash,meta/llama-3.3-70b-instruct-maas,google/gemma-4-26b-a4b-it-maas,Apertus-8B
789214#0#s1,1,1,1,1,1,1,1,1
753348#0#s0,1,1,1,0,1,1,1,1
753348#0#s1,1,0,1,1,1,1,1,1
192204#0#s0,1,1,1,1,1,1,1,1
37190#0#s0,1,0,1,0,0,1,0,0
547030#0#s0,0,0,0,0,0,0,0,1
547030#0#s1,0,0,0,0,0,0,0,1
1347905#0#s0,1,1,0,1,1,0,0,0
574782#0#s0,1,0,0,0,0,0,0,1
574782#0#s1,1,0,0,0,0,0,0,0
1228650#0#s0,0,0,0,0,0,0,1,0
670188#0#s0,1,1,1,1,1,1,1,1
230641#0#s0,1,0,0,1,1,0,1,1
674967#0#s0,1,1,1,1,1,1,1,1
56421#0#s0,1,1,1,1,1,1,1,1
229221#0#s0,0,0,0,0,1,0,0,0
229019#0#s0,1,1,1,0,1,1,1,0
229019#0#s1,1,1,1,1,0,1,0,1
1168566#0#s0,1,1,1,1,1,0,0,1
1152431#0#s0,0,0,0,0,0,1,0,0
5167#0#s0,1,1,1,1,1,1,1,1
5167#0#s1,1,0,0,1,0,1,0,1
5167#0#s2,1,0,0,0,0,0,0,1
811871#0#s0,0,0,0,0,0,0,0,0
811871#0#s1,1,0,0,0,0,0,0,0
811871#0#s2,0,0,0,0,1,1,0,0
183978#0#s0,0,0,0,0,0,1,0,0
183978#0#s1,0,0,0,0,0,0,0,0
183978#0#s2,0,0,0,0,0,0,0,0
43078#0#s0,0,0,0,0,0,0,0,0
1231587#0#s0,0,0,0,0,0,0,0,0
300195#0#s0,1,1,1,1,1,1,1,1
300195#0#s1,1,0,0,1,1,1,1,0
1020289#0#s0,1,1,1,1,1,1,1,1
100764#0#s0,1,0,1,1,1,0,1,1
231680#0#s0,1,1,1,1,1,1,1,1
171230#0#s0,0,0,1,0,1,1,1,1
229636#0#s0,1,0,1,1,1,1,1,1
47669#0#s0,1,1,1,1,1,1,1,1
47669#0#s1,1,0,0,1,1,1,1,1
164616#0#s0,1,1,1,1,1,1,1,1
164616#0#s1,1,0,0,0,0,0,0,1
229651#0#s0,0,0,0,0,0,1,0,0
1240100#0#s0,0,0,0,0,0,0,0,0
1240100#0#s1,1,0,0,0,0,0,0,0
1161831#0#s0,1,1,1,1,1,1,1,1
700282#0#s0,0,0,1,0,1,1,1,0
700282#0#s1,1,1,1,1,1,1,1,0
700282#0#s2,1,1,1,1,1,1,1,0
791181#0#s0,1,1,1,1,1,1,1,0
1251166#0#s0,1,1,1,1,1,1,1,1
231360#0#s0,0,0,0,0,0,1,0,0
230394#0#s0,0,0,0,0,0,0,0,0
230394#0#s1,0,0,0,0,0,0,0,0
